"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"223. Orphan Black";"2013–2017";"TV-MA";8,3;"117K";"A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her."
"224. The OA";"2016–2019";"TV-MA";7,8;"116K";"Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous."
"225. Shadow and Bone";"2021–2023";"TV-14";7,5;"116K";"Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world."
"226. Black Sails";"2014–2017";"TV-MA";8,2;"115K";"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island."""
"227. The Good Doctor";"2017–2024";"TV-14";8;"114K";"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
"228. 3 Body Problem";"2024–";"TV-MA";7,5;"114K";"A fateful decision made in 1960s China reverberates in the present, where a group of scientists partner with a detective to confront an existential planetary threat."
"229. Good Omens";"2019–";"TV-MA";8;"113K";"The End of the World is coming, which means a fussy Angel and a loose-living Demon who've become overly fond of life on Earth are forced to form an unlikely alliance to stop Armageddon."
"230. Titans";"2018–2023";"TV-MA";7,5;"113K";"Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes."
"231. Adventure Time";"2010–2018";"TV-PG";8,6;"113K";"A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future."
"232. The Leftovers";"2014–2017";"TV-MA";8,3;"113K";"Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event."
"233. Under the Dome";"2013–2015";"TV-14";6,5;"113K";"An invisible and mysterious force field descends upon the small town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too."
"234. Ahsoka";"2023–";"TV-14";7,5;"112K";"After the fall of the Galactic Empire, former Jedi Ahsoka Tano investigates an emerging threat to a vulnerable galaxy."
"235. SpongeBob SquarePants";"1999–";"TV-Y7";8,2;"112K";"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple."
"236. The Americans";"2013–2018";"TV-MA";8,4;"112K";"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family."
"237. The Idol";"2023";"TV-MA";4,4;"111K";"Jocelyn is desperate to reclaim her rightful title as the greatest and sexiest pop diva in America after a nervous breakdown disrupted her most recent tour after Tedros, a notorious nightclub entrepreneur, reignites her passions."
"238. The Man in the High Castle";"2015–2019";"TV-MA";7,9;"111K";"In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes."
"239. Married... with Children";"1987–1997";"TV-PG";8,1;"111K";"Al is the quintessential working class dad. Peggy, his wife, always wants more from him. With their children, they go through the highs and lows of ordinary life."
"240. The Night Agent";"2023–";"TV-MA";7,5;"111K";"Low-level FBI agent Peter Sutherland works in the basement of the White House manning a phone that never rings - until the night it does, propelling him into a conspiracy that leads all the way to the Oval Office."
"241. DC's Legends of Tomorrow";"2016–2022";"TV-14";6,8;"110K";"Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
"242. My Name Is Earl";"2005–2009";"TV-14";7,8;"110K";"A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization!"
"243. Billions";"2016–2023";"TV-MA";8,3;"110K";"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war."
"244. Chilling Adventures of Sabrina";"2018–2020";"TV-14";7,4;"109K";"As her 16th birthday nears, Sabrina Spellman must reconcile her dual nature as a half-witch, half-mortal while fighting the evil forces that threaten her, her family, and the daylight world humans inhabit."
"245. 1899";"2022";"TV-MA";7,3;"109K";"Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea."
"246. The Gentlemen";"2024";"TV-MA";8,1;"108K";"When aristocratic Eddie inherits the family estate, he discovers that it's home to a huge weed empire, and its proprietors aren't going anywhere."
"247. The Terminal List";"2022–";"R";7,9;"108K";"A former Navy SEAL officer investigates why his entire platoon was ambushed during a high-stakes covert mission."
"248. Misfits";"2009–2013";"TV-MA";8,2;"108K";"A group of young offenders doing community service gets struck by lightning during a storm and start to develop superpowers."
"249. Russian Doll";"2019–2022";"TV-MA";7,7;"108K";"A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop."
"250. Oz";"1997–2003";"TV-MA";8,7;"107K";"A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants."
"251. Psych";"2006–2014";"TV-PG";8,4;"107K";"When a novice sleuth convinces the police he has psychic powers, he and his reluctant best friend are hired on as consultants to help solve complicated cases."
"252. Young Sheldon";"2017–2024";"TV-PG";7,7;"107K";"Meet a child genius named Sheldon Cooper (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon, who is socially impaired."
"253. Lost in Space";"2018–2021";"TV-PG";7,3;"106K";"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers."
"254. 2 Broke Girls";"2011–2017";"TV-14";6,6;"105K";"Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash."
"255. Designated Survivor";"2016–2019";"TV-14";7,4;"105K";"A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession."
"256. Atypical";"2017–2021";"TV-MA";8,2;"104K";"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, which sets Sam's mom on her own life-changing path as her son seeks more independence."
"257. The Night Manager";"2016–2025";"TV-14";8;"104K";"The night manager of a Cairo hotel is recruited to infiltrate an arms dealer's inner circle."
"258. What We Do in the Shadows";"2019–2024";"TV-MA";8,6;"104K";"A look into the nightly lives of four vampires who have lived together on Staten Island for over a century."
"259. Making a Murderer";"2015–2018";"TV-14";8,5;"103K";"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime."
"260. Stargate SG-1";"1997–2007";"TV-14";8,4;"102K";"A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates."
"261. Fawlty Towers";"1975–1979";"TV-PG";8,8;"100K";"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away."
"262. Dead to Me";"2019–2022";"TV-MA";7,9;"100K";"A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret."
"263. The Orville";"2017–2022";"TV-14";8;"100K";"Set 400 years in the future, the crew of the U.S.S. Orville continue their mission of exploration, navigating both the mysteries of the universe, and the complexities of their own interpersonal relationships."
"264. American Crime Story";"2016–";"TV-MA";8,4;"99K";"An anthology series centered around America's most notorious crimes and criminals."
"265. See";"2019–2022";"TV-MA";7,6;"99K";"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight."
"266. The Family Man";"2019–";"TV-MA";8,7;"99K";"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
"267. The Outsider";"2020";"TV-MA";7,6;"98K";"When an insidious supernatural force edges its way into a seemingly straightforward investigation into the gruesome murder of a young boy, it leads a seasoned cop and an unorthodox investigator to question everything they believe in."
"268. Locke & Key";"2020–2022";"TV-14";7,3;"98K";"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death."
"269. Legion";"2017–2019";"TV-MA";8,1;"97K";"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter he discovers special powers that will change his life forever."
"270. Alice in Borderland";"2020–";"TV-MA";7,7;"97K";"Obsessed gamer Arisu suddenly finds himself in a strange, emptied-out version of Tokyo in which he and his friends must compete in dangerous games in order to survive."
"271. Foundation";"2021–";"TV-14";7,6;"97K";"A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire."
"272. Leyla and Mecnun";"2011–2023";"TV-PG";9,1;"97K";"It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnered a massive fan base and critical acclaim."
"273. The O.C.";"2003–2007";"TV-PG";7,6;"96K";"A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California."
"274. Last Week Tonight with John Oliver";"2014–";"TV-MA";8,8;"96K";"Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program."
"275. Frasier";"1993–2004";"TV-PG";8,2;"96K";"Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father and works as a radio psychiatrist."
"276. Star Trek: Picard";"2020–2023";"TV-MA";7,5;"95K";"Follow-up series to Star Trek: The Next Generation (1987) and Star Trek: Nemesis (2002) that centers on Jean-Luc Picard in the next chapter of his life."
"277. Halo";"2022–";"TV-14";7,3;"95K";"With the galaxy on the brink of destruction, Master Chief John-117 leads his team of Spartans against the alien threat known as the Covenant."
"278. The Inbetweeners";"2008–2010";"TV-14";8,4;"95K";"Follows four friends and their antics during their final years of school."
"279. The Twilight Zone";"1959–1964";"TV-PG";9,1;"94K";"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
"280. Ray Donovan";"2013–2020";"TV-MA";8,3;"94K";"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
"281. Skins";"2007–2013";"TV-MA";8,2;"93K";"The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who would rather be friends (and lovers) than authority figures."
"282. Star Trek";"1966–1969";"TV-PG";8,4;"93K";"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets."
"283. Narcos: Mexico";"2018–2021";"TV-MA";8,4;"93K";"The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico."
"284. Falling Skies";"2011–2015";"TV-14";7,1;"93K";"Survivors of an alien attack on earth gather together to fight for their lives and fight back."
"285. Sacred Games";"2018–2019";"TV-MA";8,5;"93K";"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
"286. American Gods";"2017–2021";"TV-MA";7,6;"93K";"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past."
"287. Bob's Burgers";"2011–";"TV-14";8,2;"93K";"Bob Belcher runs a struggling burger shop with his wife and three children."
"288. Charmed";"1998–2006";"TV-14";7,2;"92K";"Three Halliwell sisters discover that they are descendants of a line of good female witches and are destined to fight against the forces of evil, using their combined power of witchcraft known as the ""Power of Three""."
"289. Manifest";"2018–2023";"TV-14";7;"92K";"When a commercial airliner suddenly reappears after being missing for five years, those aboard must reintegrate into society."
"290. The Following";"2013–2015";"TV-14";7,4;"92K";"A brilliant, charismatic, and psychotic serial killer communicates with other active serial killers and activates a cult of believers who follow his every command."
"291. Elite";"2018–2024";"TV-MA";7,2;"91K";"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
"292. Gen V";"2023–";"TV-MA";7,7;"91K";"From the world of ""The Boys"" comes ""Gen V,"" which explores the first generation of superheroes to know that their super powers are from Compound V. These heroes put their physical and moral boundaries to the test competing for the school's top ranking."
"293. Monk";"2002–2009";"TV-PG";8,1;"90K";"The series follows Adrian Monk, a brilliant former San Francisco detective, who now consults the police as a private consultant whilst battling with an obsessive-compulsive disorder."
"294. Big Mouth";"2017–2025";"TV-MA";7,8;"90K";"Teenage friends find their lives upended by the wonders and horrors of puberty."
"295. CSI: Crime Scene Investigation";"2000–2015";"TV-14";7,7;"89K";"In Las Vegas, a squad of forensic investigators are trained to solve crimes by meticulously examining the evidence. They employ advanced technology and their rationality to detect the perpetrators."
"296. Agent Carter";"2015–2016";"TV-PG";7,8;"89K";"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
"297. The King of Queens";"1998–2007";"TV-PG";7,4;"89K";"Deliveryman Doug Heffernan has a good life: He has a pretty wife (Carrie), a big television, and friends with which to watch it. Then Carrie's goofy, annoying father Arthur moves in with them."
"298. Atlanta";"2016–2022";"TV-MA";8,6;"89K";"Earn and his cousin, Alfred, try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status and parenthood."
"299. The Shield";"2002–2008";"TV-MA";8,7;"88K";"Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command."
"300. Dragon Ball Z";"1989–1996";"TV-PG";8,8;"88K";"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies."
"301. Merlin";"2008–2012";"TV-PG";7,9;"87K";"These are the brand new adventures of Merlin, the legendary sorcerer as a young man, when he was just a servant to young Prince Arthur on the royal court of Camelot, who has soon become his best friend, and turned Arthur into a great king and a legend."
"302. One Tree Hill";"2003–2012";"TV-14";7,8;"87K";"Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina."
"303. The Strain";"2014–2017";"TV-MA";7,3;"87K";"A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York."
"304. Tiger King";"2020–2021";"TV-MA";7,5;"87K";"A rivalry between big cat eccentrics takes a dark turn when Joe Exotic, a controversial animal park boss, is caught in a murder-for-hire plot."
"305. Raised by Wolves";"2020–2022";"TV-MA";7,4;"87K";"Androids are tasked with raising human children on a mysterious planet."
"306. Yellowjackets";"2021–";"TV-MA";7,8;"87K";"A wildly talented girls high school soccer team become the unlucky survivors of a plane crash deep in the Canadian wilderness."
"307. Terra Nova";"2011";"TV-14";6,7;"86K";"Centers on the Shannons, an ordinary family from 2149 when the planet is dying, who are transported back 85 million years to prehistoric Earth where they join Terra Nova, a colony of humans with a second chance to build a civilization."
"308. Revolution";"2012–2014";"TV-14";6,6;"86K";"Fifteen years after a permanent global blackout, a group of revolutionaries seek to drive out a tyrannical militia that's taken over the former United States of America."
"309. Neon Genesis Evangelion";"1995–1996";"TV-MA";8,5;"86K";"A teenage boy finds himself recruited as a member of an elite team of pilots by his father."
"310. The West Wing";"1999–2006";"TV-14";8,9;"86K";"Inside the lives of staffers in the West Wing of the White House."
"311. Panchayat";"2020–";"TV-14";8,9;"85K";"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh."
"312. His Dark Materials";"2019–2022";"TV-14";7,8;"85K";"A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons."
"313. The Grand Tour";"2016–2024";"TV-14";8,7;"84K";"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
"314. Bosch";"2014–2021";"TV-MA";8,5;"84K";"An L.A.P.D. homicide detective works to solve the murder of a 13-year-old boy while standing trial in federal court for the murder of a serial killer."
"315. The Good Wife";"2009–2016";"TV-14";8,4;"83K";"Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm."
"316. Carnival Row";"2019–2023";"TV-MA";7,7;"83K";"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster."
"317. Louie";"2010–2015";"TV-MA";8,5;"82K";"The life of Louie C.K., a divorced comedian living in New York with two kids."
"318. The Animatrix";"2003";"PG-13";7,3;"82K";"A collection of nine short films featuring stories related to The Matrix (1999)."
"319. Ginny & Georgia";"2021–";"TV-14";7,5;"82K";"Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller."
"320. Mirzapur";"2018–";"TV-MA";8,5;"82K";"A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur."
"321. The Tudors";"2007–2010";"TV-MA";8,1;"81K";"Epic series reveals the scandalous life of a young king whose affairs and obsession with producing a male heir changed marriage, the church, and the world."
"322. Preacher";"2016–2019";"TV-MA";7,9;"81K";"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God."
"323. Castlevania";"2017–2021";"TV-MA";8,3;"81K";"A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula."
"324. The Peripheral";"2022";"TV-MA";7,6;"81K";"Set in the future when technology has subtly altered society, a woman discovers a secret connection to an alternate reality as well as a dark future of her own."
"325. Never Have I Ever";"2020–2023";"TV-14";7,8;"81K";"The complicated life of a first-generation Indian-American teenage girl, inspired by Mindy Kaling's own childhood."
"326. Code Geass";"2006–2008";"TV-14";8,7;"81K";"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire."
"327. Kota Factory";"2019–2021";"TV-14";9;"81K";"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives."
"328. Upload";"2020–";"TV-MA";7,8;"81K";"After his premature death, a man's consciousness is uploaded into a virtual world. As he gets comfortable with his surroundings, questions about his death arise."
"329. Ash vs Evil Dead";"2015–2018";"TV-MA";8,4;"80K";"Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope."
"330. The Watcher";"2022–";"TV-MA";6,5;"80K";"A married couple moving into their dream home are threatened by terrifying letters from a stalker, signed - ""The Watcher."""
"331. Scandal";"2012–2018";"TV-14";7,7;"80K";"A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets."
"332. Outer Banks";"2020–";"TV-MA";7,5;"80K";"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
"333. Burn Notice";"2007–2013";"TV-PG";8;"79K";"A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble."
"334. Da Vinci's Demons";"2013–2015";"TV-MA";7,9;"79K";"Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future."
"335. Blindspot";"2015–2020";"TV-14";7,3;"79K";"Jane Doe is found in Times Square with no memory and mysterious tattoos on her body."
"336. My Hero Academia";"2016–";"TV-14";8,3;"79K";"A superhero-admiring boy enrolls in a prestigious hero academy and learns what it really means to be a hero, after the strongest superhero grants him his own powers."
"337. Monty Python's Flying Circus";"1969–1974";"TV-14";8,8;"79K";"The original surreal sketch comedy showcase for the Monty Python troupe."
"338. Marco Polo";"2014–2016";"TV-MA";8;"79K";"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia."
"339. Unbreakable Kimmy Schmidt";"2015–2019";"TV-14";7,6;"79K";"A woman is rescued from a doomsday cult and starts life over again in New York City."
"340. Hawaii Five-0";"2010–2020";"TV-14";7,4;"79K";"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0."
"341. Veronica Mars";"2004–2019";"TV-14";8,4;"78K";"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune."
"342. Velma";"2023–";"TV-MA";1,6;"78K";"The origin of the sleuth and member of the Mystery Inc. gang, Velma."
"343. Girls";"2012–2017";"TV-MA";7,4;"78K";"A comedy about the experiences of a group of girls in their early 20s."
"344. Fullmetal Alchemist";"2003–2004";"TV-PG";8,5;"78K";"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone."
"345. Star Trek: Voyager";"1995–2001";"TV-PG";7,9;"78K";"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home."
"346. Everybody Loves Raymond";"1996–2005";"TV-PG";7,3;"77K";"The comical everyday life of sports columnist Ray Barone and his dysfunctional family."
"347. Heartstopper";"2022–";"TV-14";8,6;"77K";"Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series."
"348. The Bridge";"2011–2018";"TV-MA";8,6;"77K";"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
"349. Santa Clarita Diet";"2017–2019";"TV-MA";7,8;"76K";"Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn."
"350. Ballers";"2015–2019";"TV-MA";7,8;"76K";"A series centered around a group of football players and their families, friends and handlers."
"351. Master of None";"2015–2021";"TV-MA";8,2;"76K";"The personal and professional life of Dev, a 30-year-old actor in New York."
"352. Twin Peaks";"2017";"TV-MA";8,5;"76K";"Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered."
"353. Angel";"1999–2004";"TV-14";7,9;"76K";"The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption."
"354. Sandeep Bhaiya";"N/A";"N/A";9,2;"75K";"A tiffin service provider finds a mentor in a failed UPSC aspirant who inspires her to become an IFS."
"355. I Am Not Okay with This";"2020";"TV-MA";7,5;"75K";"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her."
"356. iZombie";"2015–2019";"TV-14";7,8;"75K";"A medical resident finds that being a zombie has its perks, which she uses to assist the police."
"357. Paranormal";"2020";"TV-14";8;"74K";"Set in the 1960s, the series, packed with mystery and suspense, depicts the adventures of Doctor Refaat Ismail, a single hematologist who finds himself faced with a series of supernatural events."
"358. The Rookie";"2018–";"TV-14";8;"74K";"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
"359. Steins;Gate";"2011–2015";"TV-14";8,8;"74K";"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
"360. Vinland Saga";"2019–2023";"TV-MA";8,8;"73K";"Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage."
"361. Disenchantment";"2018–2023";"TV-MA";7,2;"73K";"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous."
"362. From";"2022–";"TV-MA";7,7;"73K";"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest."
"363. Friday Night Lights";"2006–2011";"TV-14";8,7;"73K";"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor."
"364. TVF Pitchers";"2015–2022";"TV-MA";9,1;"73K";"A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture."
"365. Slow Horses";"2022–";"TV-MA";8,1;"72K";"Follows a team of British intelligence agents who serve as a dumping ground department of MI5 due to their career-ending mistakes."
"366. Limitless";"2015–2016";"TV-14";7,6;"72K";"An average 28-year-old man who gains the ability to use the full extent of his brain's capabilities is hired by the F.B.I. as a consultant."
"367. Chappelle's Show";"2003–2006";"TV-MA";8,8;"72K";"Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture."
"368. Stargate: Atlantis";"2004–2009";"TV-PG";8,1;"72K";"An international team of scientists and military personnel discover a Stargate network in the Pegasus Galaxy and come face-to-face with a new, powerful enemy: The Wraith."
"369. Hijack";"2023";"TV-MA";7,4;"71K";"A plane from Dubai to London is hijacked over a 7-hour flight, while authorities on the ground scramble for answers."
"370. Tulsa King";"2022–";"TV-MA";8;"71K";"Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters."
"371. Star Trek: Deep Space Nine";"1993–1999";"TV-PG";8,1;"71K";"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy."
"372. Space Force";"2020–2022";"TV-MA";6,7;"71K";"The people tasked with creating a sixth branch of the armed services: The Space Force."
"373. Ratched";"2020";"TV-MA";7,3;"71K";"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness."
"374. Shadowhunters";"2016–2019";"TV-14";6,5;"71K";"After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters."
"375. Line of Duty";"2012–2021";"TV-14";8,7;"71K";"Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
"376. Shrinking";"2023–";"TV-MA";8;"70K";"A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own."
"377. Avatar: The Last Airbender";"2024–";"TV-PG";7,2;"70K";"A young boy known as the Avatar must master the four elemental powers to save the world, and fight against an enemy bent on stopping him."
"378. For All Mankind";"2019–";"TV-MA";8,1;"70K";"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals."
"379. Superstore";"2015–2021";"TV-14";7,9;"70K";"A look at the lives of employees at a big box store."
"380. Bleach";"2004–2023";"TV-14";8,2;"69K";"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows""."
"381. Blue Eye Samurai";"2023";"TV-MA";8,7;"68K";"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny."
"382. ER";"1994–2009";"TV-14";7,9;"68K";"The doctors who work in the ER at the County General Hospital in Chicago grapple with ups and downs in their personal and professional lives while trying to give apt medical care to their patients."
"383. All of Us Are Dead";"2022–";"TV-MA";7,5;"67K";"A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected."
"384. A Series of Unfortunate Events";"2017–2019";"TV-PG";7,7;"67K";"After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
"385. Sweet Tooth";"2021–";"TV-14";7,7;"67K";"A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids."
"386. Peep Show";"2003–2015";"TV-MA";8,7;"67K";"Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life."
"387. Anne with an E";"2017–2019";"TV-PG";8,6;"67K";"The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels."
"388. Dragon Ball";"1986–1989";"TV-14";8,6;"66K";"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
