"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"39. Mr. Robot";"2015–2019";"TV-MA";8,5;"420K";"Elliot, a brilliant but unstable cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global chaos when he and his shadowy allies try to take down the corrupt corporation his company is paid to protect."
"40. Loki";"2021–2023";"TV-14";8,2;"413K";"The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”"
"41. South Park";"1997–";"TV-MA";8,7;"407K";"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
"42. House of the Dragon";"2022–";"TV-MA";8,4;"381K";"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
"43. Death Note";"2006–2007";"TV-14";8,9;"381K";"An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it."
"44. The Wire";"2002–2008";"TV-MA";9,3;"379K";"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
"45. Avatar: The Last Airbender";"2005–2008";"TV-Y7-FV";9,3;"376K";"In a war-torn world of elemental powers, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
"46. The Flash";"2014–2023";"TV-PG";7,5;"369K";"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City."
"47. Brooklyn Nine-Nine";"2013–2021";"TV-14";8,4;"366K";"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
"48. Family Guy";"1999–";"TV-MA";8,1;"365K";"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
"49. Wednesday";"2022–";"TV-14";8,1;"365K";"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents."
"50. Homeland";"2011–2020";"TV-MA";8,3;"361K";"A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil."
"51. Lucifer";"2016–2021";"TV-14";8,1;"357K";"Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels."
"52. The Lord of the Rings: The Rings of Power";"2022–";"TV-14";7;"355K";"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth."
"53. Sex Education";"2019–2023";"TV-MA";8,3;"353K";"A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school."
"54. Seinfeld";"1989–1998";"TV-PG";8,9;"353K";"The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends."
"55. Ted Lasso";"2020–2023";"TV-MA";8,8;"352K";"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
"56. The Vampire Diaries";"2009–2017";"TV-14";7,7;"351K";"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
"57. Ozark";"2017–2022";"TV-MA";8,5;"348K";"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
"58. American Horror Story";"2011–";"TV-MA";8;"345K";"An anthology series centering on different characters and locations, showcasing different aspects of horror."
"59. Grey's Anatomy";"2005–";"TV-14";7,6;"343K";"A drama centered on the personal and professional lives of five surgical interns and their supervisors."
"60. Mindhunter";"2017–2019";"TV-MA";8,6;"338K";"In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters."
"61. Arrested Development";"2003–2019";"TV-14";8,7;"325K";"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
"62. Sons of Anarchy";"2008–2014";"TV-MA";8,6;"325K";"A biker struggles to balance being a father and being involved in an outlaw motorcycle club."
"63. Orange Is the New Black";"2013–2019";"TV-MA";8;"321K";"Convicted of a decade-old crime of transporting drug money, ordinarily law-abiding Piper Chapman is sentenced to 18 months behind bars and quickly discovers the realities of life-changing prison time."
"64. 13 Reasons Why";"2017–2020";"TV-MA";7,5;"316K";"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
"65. Aspirants";"N/A";"N/A";9,2;"312K";"It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds."
"66. You";"2018–2024";"TV-MA";7,7;"301K";"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
"67. Community";"2009–2015";"TV-14";8,5;"294K";"A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body."
"68. Parks and Recreation";"2009–2015";"TV-14";8,6;"289K";"The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place."
"69. Shameless";"2011–2021";"TV-MA";8,5;"287K";"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
"70. Firefly";"2002–2003";"TV-14";8,9;"282K";"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
"71. Two and a Half Men";"2003–2015";"TV-14";7,1;"281K";"A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house."
"72. The Blacklist";"2013–2023";"TV-14";7,9;"280K";"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
"73. Hannibal";"2013–2015";"TV-MA";8,5;"278K";"Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers."
"74. The 100";"2014–2020";"TV-14";7,6;"277K";"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet."
"75. The Umbrella Academy";"2019–2024";"TV-14";7,9;"277K";"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
"76. Succession";"2018–2023";"TV-MA";8,8;"276K";"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
"77. Arcane";"2021–";"TV-14";9;"274K";"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart."
"78. Scrubs";"2001–2010";"TV-14";8,4;"271K";"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
"79. The Punisher";"2017–2019";"TV-MA";8,4;"266K";"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
